Rang,Gewählter Beruf,Total,Anteil in %,Frauen,Männer
,"Total",7856,100.00,3698,4158
1,"Kaufmann/-frau EFZ Erweiterte Grundbildung",1328,16.90,822,506
2,"Fachmann/-frau Gesundheit EFZ",541,6.89,475,66
3,"Fachmann/-frau Betreuung EFZ",511,6.50,439,72
4,"Detailhandelsfachmann/-frau EFZ",430,5.47,208,222
5,"Informatiker/in EFZ",323,4.11,39,284
6,"Kaufmann/-frau EFZ Basis-Grundbildung",317,4.04,202,115
7,"Elektroinstallateur/in EFZ",292,3.72,6,286
8,"Zeichner/in EFZ",201,2.56,76,125
9,"Polymechaniker/in EFZ",196,2.49,14,182
10,"Medizinische/r Praxisassistent/in EFZ",185,2.35,180,5
11,"Dentalassistent/in EFZ",178,2.27,178,0
12,"Koch/Köchin EFZ",164,2.09,56,108
13,"Logistiker/in EFZ",162,2.06,10,152
14,"Pharma-Assistent/in EFZ",123,1.57,120,3
15,"Automobil-Fachmann/-frau EFZ",112,1.43,3,109
16,"Schreiner/in EFZ",106,1.35,23,83
17,"Fachmann/-frau Betriebsunterhalt EFZ",102,1.30,5,97
18,"Zimmermann/Zimmerin EFZ",101,1.29,3,98
19,"Detailhandelsassistent/in EBA",100,1.27,47,53
20,"Automatiker/in EFZ",95,1.21,7,88
21,"Coiffeur/-euse EFZ",89,1.13,73,16
22,"Montage-Elektriker/in EFZ",80,1.02,0,80
23,"Assistent/in Gesundheit und Soziales EBA",78,0.99,65,13
23,"Automobil-Mechatroniker/in EFZ",78,0.99,4,74
25,"Konstrukteur/in EFZ",77,0.98,9,68
26,"Gärtner/in EFZ",76,0.97,15,61
27,"Sanitärinstallateur/in EFZ",69,0.88,1,68
28,"Elektroniker/in EFZ",68,0.87,7,61
28,"Mediamatiker/in EFZ",68,0.87,32,36
30,"Anlehre: INSOS Pra",59,0.75,21,38
31,"Maler/in EFZ",58,0.74,21,37
32,"Laborant/in EFZ",52,0.66,26,26
33,"Hotelfachmann/-frau EFZ",51,0.65,40,11
34,"Maurer/in EFZ",48,0.61,0,48
35,"Heizungsinstallateur/in EFZ",43,0.55,1,42
36,"Augenoptiker/in EFZ",42,0.53,33,9
37,"Restaurantfachmann/-frau EFZ",39,0.50,27,12
38,"Drogist/in EFZ",38,0.48,34,4
39,"Produktionsmechaniker/in EFZ",37,0.47,0,37
40,"ICT-Fachmann EFZ",36,0.46,1,35
41,"Elektroplaner/in EFZ",35,0.45,6,29
42,"Tiermed. Praxisassistent/in EFZ",32,0.41,32,0
43,"Bäcker/in-Konditor/in-Confiseur/in EFZ",29,0.37,23,6
44,"Carrossier/in Lackiererei EFZ",28,0.36,2,26
45,"Landwirt/in EFZ",27,0.34,4,23
46,"Fachmann/-frau Kundendialog EFZ",25,0.32,17,8
46,"Metallbauer/in EFZ",25,0.32,1,24
48,"Carrosseriespengler/in EFZ",22,0.28,1,21
48,"Hotel-Kommunikationsfachmann/-frau EFZ",22,0.28,15,7
48,"Logistiker/in EBA",22,0.28,2,20
51,"Forstwart/in EFZ",21,0.27,0,21
51,"Geomatiker/in EFZ",21,0.27,6,15
51,"Haustechnikpraktiker/in EBA",21,0.27,1,20
51,"Landmaschinenmechaniker/in EFZ",21,0.27,1,20
55,"Florist/in EFZ",20,0.25,19,1
56,"Fachmann/-frau öffentlicher Verkehr EFZ",18,0.23,3,15
57,"Automatikmonteur/in EFZ",17,0.22,2,15
57,"Fachmann/-frau Bewegungs-u.Ges.heitsförderung EFZ",17,0.22,7,10
59,"Fahrradmechaniker/in EFZ",16,0.20,1,15
59,"Gärtner/in EBA",16,0.20,2,14
61,"Anlagen- und Apparatebauer/in EFZ",15,0.19,1,14
61,"Gebäudetechnikplaner/in Lüftung EFZ",15,0.19,4,11
61,"Hauswirtschaftspraktiker/in EBA",15,0.19,10,5
64,"Fachmann/Fachfrau Hauswirtschaft EFZ",14,0.18,14,0
64,"Fleischfachmann/-frau EFZ",14,0.18,2,12
64,"Gebäudetechnikplaner/in Heizung EFZ",14,0.18,3,11
64,"Lebensmitteltechnologe/-login EFZ",14,0.18,2,12
64,"Medientechnologe/-login EFZ",14,0.18,6,8
64,"Netzelektriker/in EFZ",14,0.18,1,13
70,"Büroassistent/in EBA",13,0.17,8,5
70,"Kosmetiker/in EFZ",13,0.17,13,0
70,"Küchenangestellte/r EBA",13,0.17,3,10
70,"Multimediaelektroniker/in EFZ",13,0.17,1,12
70,"Pferdefachmann/-frau EFZ",13,0.17,12,1
70,"Spengler/in EFZ",13,0.17,2,11
70,"Systemgastronomiefachmann/-frau EFZ",13,0.17,7,6
70,"Unterhaltspraktiker/in EBA",13,0.17,0,13
78,"Gebäudetechnikplaner/in Sanitär EFZ",12,0.15,3,9
78,"Gestalter/in Werbetechnik EFZ",12,0.15,10,2
78,"Polygraf/in EFZ",12,0.15,8,4
78,"Zeichner/in (Berufsfeld Raum- und Bauplanung) EFZ",12,0.15,8,4
82,"Strassenbauer/in EFZ",11,0.14,1,10
83,"Baumaschinenmechaniker/in EFZ",10,0.13,0,10
83,"Bekleidungsgestalter/in EFZ",10,0.13,10,0
83,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",10,0.13,9,1
83,"Veranstaltungsfachmann/-frau EFZ",10,0.13,2,8
87,"Coiffeur/-euse EBA",9,0.11,8,1
87,"Kunststofftechnologe/-login EFZ",9,0.11,1,8
87,"Schreinerpraktiker/in EBA",9,0.11,0,9
90,"Automobil-Assistent/in EBA",8,0.10,0,8
90,"Boden-Parkettleger/in EFZ",8,0.10,0,8
90,"Gipser/in-Trockenbauer/in EFZ",8,0.10,0,8
90,"Mechanikpraktiker/in EBA",8,0.10,0,8
90,"Restaurantangestellte/r EBA",8,0.10,5,3
95,"Baupraktiker/in EBA",7,0.09,0,7
95,"Chemie- und Pharmatechnologe/-login EFZ",7,0.09,6,1
95,"Fachmann/-frau Information u. Dokumentation EFZ",7,0.09,4,3
95,"Malerpraktiker/in EBA",7,0.09,0,7
95,"Tierpfleger/in EFZ",7,0.09,6,1
95,"Zahntechniker/in EFZ",7,0.09,7,0
101,"Hotellerieangestellte/r EBA",6,0.08,6,0
101,"Motorradmechaniker/in EFZ",6,0.08,0,6
101,"Orthopädist/in EFZ",6,0.08,4,2
101,"Reifenpraktiker/in EBA",6,0.08,0,6
101,"Strassentransportfachmann/-frau EFZ",6,0.08,0,6
106,"Anlagenführer/in EFZ (ab Lehrbeginn 2017)",5,0.06,1,4
106,"Buchhändler/in EFZ",5,0.06,5,0
106,"Bühnentänzer/in EFZ",5,0.06,4,1
106,"Fotofachmann/-frau EFZ",5,0.06,3,2
106,"Gebäudereiniger/in EBA",5,0.06,0,5
106,"Lüftungsanlagenbauer/in EFZ",5,0.06,0,5
106,"Metallbaukonstrukteur/in EFZ",5,0.06,1,4
106,"Metallbaupraktiker/in EBA",5,0.06,0,5
106,"Physiklaborant/in EFZ",5,0.06,1,4
115,"Bäcker/in-Konditor/in-Confiseur/in EBA",4,0.05,4,0
115,"Bootfachwart/in EFZ",4,0.05,0,4
115,"Gleisbauer/in EFZ",4,0.05,0,4
115,"Holzbearbeiter/in EBA",4,0.05,0,4
115,"Industrielackierer/in EFZ",4,0.05,1,3
115,"Kältesystem-Monteur/in EFZ",4,0.05,0,4
115,"Lackierassisten/in EBA",4,0.05,0,4
115,"Plattenleger/in EFZ",4,0.05,0,4
115,"Printmedienverarbeiter/in EFZ",4,0.05,2,2
115,"Strassenbaupraktiker/in EBA",4,0.05,0,4
115,"Telematiker/in EFZ",4,0.05,0,4
126,"Dachdecker/in EFZ",3,0.04,0,3
126,"Fahrzeugschlosser/in EFZ",3,0.04,0,3
126,"Kältesystem-Planer/in EFZ",3,0.04,1,2
126,"Kaminfeger/in EFZ",3,0.04,1,2
126,"Recyclist/in EFZ",3,0.04,0,3
126,"Storenmonteur/in EFZ",3,0.04,0,3
132,"Abdichtungspraktiker/in EBA",2,0.03,0,2
132,"Architekturmodellbauer/in EFZ",2,0.03,1,1
132,"Bootbauer/in EFZ",2,0.03,0,2
132,"Coiffeur/-euse (Fachschule)",2,0.03,1,1
132,"Dachdeckerpraktiker/in EBA",2,0.03,0,2
132,"Fleischfachassistent/in EBA",2,0.03,0,2
132,"Gebäudereiniger/in EFZ",2,0.03,0,2
132,"Grafiker/in EFZ",2,0.03,1,1
132,"Grundbauer/in EFZ",2,0.03,0,2
132,"Industrie- und Unterlagsbodenbauer/in EFZ",2,0.03,0,2
132,"Interactive Media Designer EFZ",2,0.03,0,2
132,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",2,0.03,0,2
132,"Milchtechnologe/-login EFZ",2,0.03,0,2
132,"Ofenbauer/in EFZ",2,0.03,0,2
132,"Plattenlegerpraktiker/in EBA",2,0.03,0,2
132,"Podologe/-login EFZ",2,0.03,2,0
132,"Raumausstatter/in EFZ",2,0.03,1,1
132,"Uhrmacher/in EFZ",2,0.03,0,2
132,"Winzer/in EFZ",2,0.03,0,2
151,"Abdichter/in EFZ",1,0.01,0,1
151,"Agrarpraktiker/in EBA",1,0.01,0,1
151,"Apparate-Glasbläser/in EFZ",1,0.01,1,0
151,"Bauwerktrenner/in EFZ",1,0.01,0,1
151,"Blasinstrumentenbauer EFZ",1,0.01,0,1
151,"Dekorationsnäher/in EBA",1,0.01,1,0
151,"Drucktechnologe/-gin EFZ",1,0.01,1,0
151,"Entwässerungspraktiker/in EBA",1,0.01,0,1
151,"Fassadenbauer/in EFZ",1,0.01,0,1
151,"Florist/in EBA",1,0.01,1,0
151,"Gemüsegärtner/in EFZ",1,0.01,0,1
151,"Gerüstbauer/in EFZ",1,0.01,0,1
151,"Gerüstbaupraktiker/in EBA",1,0.01,0,1
151,"Goldschmied/in EFZ",1,0.01,0,1
151,"Grundbaupraktiker/in EBA",1,0.01,0,1
151,"Hufschmied/in EFZ",1,0.01,1,0
151,"Innendekorateur/in",1,0.01,1,0
151,"Kunststoffverarbeiter/in EBA",1,0.01,0,1
151,"Lebensmittelpraktiker/in EBA",1,0.01,1,0
151,"Matrose/Matrosin der Binnenschifffahrt EFZ",1,0.01,0,1
151,"Medizinproduktetechnologe/-gin EFZ",1,0.01,1,0
151,"Motorgerätemechaniker/in EFZ",1,0.01,0,1
151,"Müller/in EFZ",1,0.01,1,0
151,"Oberflächenpraktiker/in EBA",1,0.01,0,1
151,"Obstfachmann/-fachfrau EFZ",1,0.01,0,1
151,"Orgelbauer EFZ",1,0.01,0,1
151,"Pferdewart/in EBA",1,0.01,1,0
151,"Seilbahn-Mechatroniker/in EFZ",1,0.01,0,1
151,"Steinmetz/in EFZ",1,0.01,1,0
151,"Strassentransportpraktiker/in EBA",1,0.01,0,1
151,"Vergolder/in-Einrahmer/in EFZ",1,0.01,1,0
151,"Wohntextilgestalter/in EFZ",1,0.01,1,0
